what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1506502516611
started,bundle,org.eclipse.wst.sse.core,1.1.601.v201108151912,"org.eclipse.wst.sse.core",1506502516612
started,bundle,com.google.gdt.eclipse.designer,2.4.2.r37x201110181239,"com.google.gdt.eclipse.designer",1506502516613
started,bundle,com.google.gdt.eclipse.designer.GXT,2.4.2.r37x201110181249,"com.google.gdt.eclipse.designer.GXT",1506502516614
started,bundle,com.google.gdt.eclipse.designer.SmartGWT,2.4.2.r37x201110181249,"com.google.gdt.eclipse.designer.SmartGWT",1506502516614
started,bundle,com.google.gdt.eclipse.designer.UiBinder,2.4.2.r37x201110181239,"com.google.gdt.eclipse.designer.UiBinder",1506502516615
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1506502516616
started,bundle,org.eclipse.pde.ui,3.6.100.v20110603,"org.eclipse.pde.ui",1506502516618
started,bundle,org.eclipse.wb.core,1.2.0.r37x201109270310,"org.eclipse.wb.core",1506502516620
started,bundle,org.eclipse.wb.core.lib,1.2.0.r37x201109270310,"org.eclipse.wb.core.lib",1506502516621
started,bundle,org.eclipse.wb.discovery.core,1.2.0.r37x201109270333,"org.eclipse.wb.discovery.core",1506502516622
started,bundle,org.eclipse.wb.discovery.ui,1.2.0.r37x201109270333,"org.eclipse.wb.discovery.ui",1506502516623
started,bundle,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.adt",1506502516623
started,bundle,com.android.ide.eclipse.ddms,16.0.1.v201112150204-238534,"com.android.ide.eclipse.ddms",1506502516625
started,bundle,com.android.ide.eclipse.traceview,16.0.1.v201112150204-238534,"com.android.ide.eclipse.traceview",1506502516625
os,sysinfo,,,"win32",1506502516628
arch,sysinfo,,,"x86",1506502516628
ws,sysinfo,,,"win32",1506502516628
locale,sysinfo,,,"zh_CN",1506502516628
processors,sysinfo,,,"8",1506502516628
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1506502516628
java.runtime.version,sysinfo,,,"1.7.0_80-b15",1506502516628
java.specification.name,sysinfo,,,"Java Platform API Specification",1506502516628
java.specification.vendor,sysinfo,,,"Oracle Corporation",1506502516628
java.specification.version,sysinfo,,,"1.7",1506502516628
java.vendor,sysinfo,,,"Oracle Corporation",1506502516628
java.version,sysinfo,,,"1.7.0_80",1506502516628
java.vm.info,sysinfo,,,"mixed mode, sharing",1506502516628
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1506502516628
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1506502516628
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1506502516628
