what,kind,bundleId,bundleVersion,description,time
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.resources.ResourcesEditor",1506504739278
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1506504742017
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1506504747661
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1506504763700
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1506504778926
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1506504790147
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1506504791284
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1506504792202
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1506504792867
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1506504885046
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1506504887423
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1506504890131
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1506504890881
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1506504891995
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1506504893050
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1506504895782
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.resources.ResourcesEditor",1506504896187
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1506504897525
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1506504902961
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1506504939688
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1506504939995
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1506504958007
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1506504960572
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1506505041577
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1506505059796
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1506505648585
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1506505650809
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1506505651630
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1506505659424
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1506505722192
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.resources.ResourcesEditor",1506505722291
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1506505723148
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1506505725000
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1506505727444
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1506505743977
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1506505746124
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.RunLast",1506505746133
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1506505749673
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1506505751472
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1506505752800
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1506505755664
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1506505762109
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1506505763575
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1506505766884
