what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.pde.ui,3.6.100.v20110603,"org.eclipse.pde.ui",1506522293282
started,bundle,org.eclipse.wb.core,1.2.0.r37x201109270310,"org.eclipse.wb.core",1506522293284
started,bundle,org.eclipse.wb.core.lib,1.2.0.r37x201109270310,"org.eclipse.wb.core.lib",1506522293286
started,bundle,org.eclipse.wb.discovery.core,1.2.0.r37x201109270333,"org.eclipse.wb.discovery.core",1506522293287
started,bundle,org.eclipse.wb.discovery.ui,1.2.0.r37x201109270333,"org.eclipse.wb.discovery.ui",1506522293287
started,bundle,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.adt",1506522293287
started,bundle,com.android.ide.eclipse.ddms,16.0.1.v201112150204-238534,"com.android.ide.eclipse.ddms",1506522293288
started,bundle,com.android.ide.eclipse.traceview,16.0.1.v201112150204-238534,"com.android.ide.eclipse.traceview",1506522293289
os,sysinfo,,,"win32",1506522293292
arch,sysinfo,,,"x86",1506522293292
ws,sysinfo,,,"win32",1506522293292
locale,sysinfo,,,"zh_CN",1506522293292
processors,sysinfo,,,"8",1506522293292
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1506522293292
java.runtime.version,sysinfo,,,"1.7.0_80-b15",1506522293292
java.specification.name,sysinfo,,,"Java Platform API Specification",1506522293292
java.specification.vendor,sysinfo,,,"Oracle Corporation",1506522293292
java.specification.version,sysinfo,,,"1.7",1506522293292
java.vendor,sysinfo,,,"Oracle Corporation",1506522293292
java.version,sysinfo,,,"1.7.0_80",1506522293292
java.vm.info,sysinfo,,,"mixed mode, sharing",1506522293292
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1506522293292
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1506522293292
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1506522293292
java.vm.specification.version,sysinfo,,,"1.7",1506522293292
java.vm.vendor,sysinfo,,,"Oracle Corporation",1506522293292
java.vm.version,sysinfo,,,"24.80-b11",1506522293292
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1506522293295
error,log,,,"Unable to update index for central|http://repo1.maven.org/maven2",1506522295224
opened,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1506522298016
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1506522309191
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1506522311932
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1506522311966
opened,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.resources.ResourcesEditor",1506522316021
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.resources.ResourcesEditor",1506522316055
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1506522318573
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1506522320706
started,bundle,org.eclipse.m2e.editor.xml,1.0.100.20110804-1717,"org.eclipse.m2e.editor.xml",1506522320713
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1506522321003
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1506522321268
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1506522321818
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1506522322986
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1506522323179
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1506522323744
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1506522324674
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1506522326538
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1506522326584
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1506522327853
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1506522329581
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.resources.ResourcesEditor",1506522329644
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1506522330430
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1506522330851
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1506522331787
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1506522331800
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1506522332817
closed,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.resources.ResourcesEditor",1506522332873
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1506522335616
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1506522336893
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1506522338842
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1506522339598
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1506522340044
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1506522340396
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1506522342710
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1506522348442
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1506522348491
started,bundle,com.google.gdt.eclipse.designer.wizards,2.4.2.r37x201110181249,"com.google.gdt.eclipse.designer.wizards",1506522348610
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1506522348628
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1506522358333
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1506522399592
opened,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1506522399916
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1506522399964
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1506522402096
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1506522402466
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1506522402715
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1506522403195
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1506522403319
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1506522404624
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1506522409111
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1506522409798
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1506522410050
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1506522414875
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1506522419326
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1506522444977
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1506522445000
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1506522449610
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui",1506522449747
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1506522449769
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit",1506522449878
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1506522450531
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1506522451788
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1506522453118
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1506522455948
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1506522456157
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1506522456388
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1506522456495
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1506522457678
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1506522458110
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1506522464414
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1506522465097
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1506522465770
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1506522466222
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1506522467581
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1506522471174
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1506522471572
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1506522472786
activated,view,org.eclipse.mylyn.tasks.ui,3.6.2.v20110826-0100,"org.eclipse.mylyn.tasks.ui.views.tasks",1506522478897
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1506522478932
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.ContentOutline",1506522479994
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1506522480021
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1506522510254
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1506522512386
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1506522514234
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1506522514244
started,bundle,org.eclipse.pde.api.tools,1.0.301.v20110728_r371,"org.eclipse.pde.api.tools",1506522514277
started,bundle,org.eclipse.pde.api.tools.ui,1.0.301.v20110803_r371,"org.eclipse.pde.api.tools.ui",1506522514278
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1506522540506
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1506522542495
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1506522542840
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1506522543311
