what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1506522871871
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1506522872381
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1506522873036
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1506522873473
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1506522873917
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1506522874263
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1506522874622
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1506522875482
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1506522875783
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1506522876299
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1506522877407
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1506522879924
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1506522882858
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1506522886220
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1506522886689
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1506522892677
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1506522892940
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1506522897488
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1506522898574
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1506522902321
error,log,,,"Parser exception for D:\\CodeLibrary\\GithubRepository\\Android-Study\\Proj2\\AndroidManifest.xml: The element type ""application"" must be terminated by the matching end-tag ""</application>"".",1506522902459
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1506522905142
error,log,,,"Parser exception for D:\\CodeLibrary\\GithubRepository\\Android-Study\\Proj2\\AndroidManifest.xml: The element type ""application"" must be terminated by the matching end-tag ""</application>"".",1506522905267
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1506522908154
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1506522910694
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1506522912088
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1506522912668
